Date,Raid,Difficulty,Boss,Player,Item
2026-07-25,Aberrus the Shadowed Crucible,Heroic,Kazzara the Hellforged,Devysknight,Screaming Black Dragonscale
2026-07-25,Aberrus the Shadowed Crucible,Heroic,Kazzara the Hellforged,Devysknight,Bloodstench Skinguards
2026-07-25,Aberrus the Shadowed Crucible,Heroic,Kazzara the Hellforged,Devysknight,Slumbering Coil Curio
2026-07-25,Aberrus the Shadowed Crucible,Heroic,Kazzara the Hellforged,Devysknight,Venomcast Remnant
2026-07-25,Aberrus the Shadowed Crucible,Heroic,Kazzara the Hellforged,Devysknight,Dreadrift Stompers
2026-07-25,Aberrus the Shadowed Crucible,Mythic,Rashok the Elder,Devysknight,Tormentor's Siphoning Signet
2026-07-25,Aberrus the Shadowed Crucible,Mythic,Rashok the Elder,Devysknight,Bloodfire Extraction Conduit
2026-07-25,Aberrus the Shadowed Crucible,Mythic,Rashok the Elder,Devysknight,Dreadful Cooling Fluid
2026-07-25,Aberrus the Shadowed Crucible,Mythic,Assault of the Zaqali,Devysknight,Venomcast Effigy
2026-07-25,Aberrus the Shadowed Crucible,Mythic,Assault of the Zaqali,Devysknight,Venomwoven Effigy
2026-07-25,Aberrus the Shadowed Crucible,Mythic,Assault of the Zaqali,Devysknight,Venomcured Effigy
2026-07-25,Aberrus the Shadowed Crucible,Mythic,Assault of the Zaqali,Devysknight,Kagni's Scorching Talisman
2026-07-25,Aberrus the Shadowed Crucible,Mythic,Assault of the Zaqali,Devysknight,Phoenix-Plume Gloves
2026-07-25,Aberrus the Shadowed Crucible,Mythic,Kazzara the Hellforged,Devysknight,Hellsteel Mutilator
2026-07-25,Aberrus the Shadowed Crucible,Mythic,Kazzara the Hellforged,Devysknight,Venomforged Idol
2026-07-25,Aberrus the Shadowed Crucible,Mythic,Kazzara the Hellforged,Devysknight,Violent Gravemask
2026-07-25,Aberrus the Shadowed Crucible,Mythic,Kazzara the Hellforged,Devysknight,Venomforged Relic
2026-07-25,Aberrus the Shadowed Crucible,Mythic,Kazzara the Hellforged,Devysknight,Venomforged Relic
2026-07-25,Aberrus the Shadowed Crucible,Mythic,Kazzara the Hellforged,Devysknight,Slumbering Coil Curio
