Name,Bonus Roll Boss,Catalyst Charges,Catalyst Slots (Hero),Current Tier Slots,Has 4 Set,Vault Option (Tier)
Boom,,2,,Head,FALSE,"Shoulder, Chest"
Charlie,,2,,,FALSE,
Fka,,2,,,FALSE,
Jayken,,2,,,FALSE,
Nocth,,2,,,FALSE,
Nymu,,2,,,FALSE,
Puti,,2,,,FALSE,
Rev,,2,,,FALSE,
Vao,,2,,,FALSE,
Pjs,,2,,,FALSE,
Mekes,,2,,,FALSE,
Devy,,2,,,FALSE,
Worm,,2,,,FALSE,
Bang,,2,,,FALSE,
Beef,,2,,,FALSE,
JD,,2,,,FALSE,
Marcsx,,2,,,FALSE,
Sol,,2,,,FALSE,
Szardz,,2,,,FALSE,
Ult,,2,,,FALSE,
Astra,,2,,,FALSE,
Brainranger,,2,,,FALSE,
Elaine,,2,,,FALSE,
Gibdo,,2,,,FALSE,
Kyle,,2,,,FALSE,
Regal,,2,,,FALSE,
